td, id, tj, df, dd, db
5, 2001, 0, 1, 4, 5
5, 2002, 0, 1, 4, 5
10, 2005, 3, 1, 6, 7
11, 2006, 4, 1, 6, 7
15, 1, 0, 4, 11, 15
15, 7, 8, 1, 6, 7
15, 10, 11, 1, 3, 4
16, 2012, 9, 1, 6, 7
16, 2015, 11, 1, 4, 5
18, 2009, 7, 1, 10, 11
19, 2020, 15, 1, 3, 4
20, 2023, 17, 1, 2, 3
21, 2021, 16, 1, 4, 5
21, 2022, 16, 1, 4, 5
21, 13, 15, 1, 5, 6
21, 16, 19, 1, 1, 2
21, 15, 17, 1, 3, 4
29, 21, 26, 1, 2, 3
34, 2026, 21, 1, 12, 13
35, 17, 21, 3, 11, 14
35, 8, 9, 1, 25, 26
35, 9, 10, 2, 23, 25
35, 28, 34, Never attacked, Never attacked, 1
37, 2040, 33, 1, 3, 4
42, 2038, 32, 1, 9, 10
42, 2038, 32, 1, 9, 10
42, 2038, 32, 1, 9, 10
42, 2039, 32, 1, 9, 10
45, 2047, 40, 1, 4, 5
45, 2036, 29, 1, 15, 16
46, 2027, 23, 1, 22, 23
46, 34, 44, 1, 1, 2
46, 30, 38, 1, 7, 8
47, 2032, 26, 1, 20, 21
47, 2033, 27, 1, 19, 20
100, 2030, 25, 2, 73, 75
47, 35, 46, 1, 0, 1
47, 26, 32, 1, 14, 15
48, 2037, 31, 1, 16, 17
56, 2048, 41, 1, 14, 15
56, 2054, 47, 1, 8, 9
60, 2057, 50, 1, 9, 10
60, 2063, 57, 1, 2, 3
61, 2058, 52, 1, 8, 9
62, 2059, 53, 1, 8, 9
62, 2053, 46, 1, 15, 16
63, 2066, 59, 1, 3, 4
67, 2062, 56, 1, 10, 11
67, 18, 23, 2, 42, 44
67, 5, 6, 1, 60, 61
67, 22, 27, Never attacked, Never attacked, 40
67, 4, 4, 1, 62, 63
67, 11, 13, 1, 53, 54
67, 50, 66, Never attacked, Never attacked, 1
69, 2070, 64, 1, 4, 5
69, 2071, 64, 1, 4, 5
69, 2070, 64, 1, 4, 5
69, 2071, 64, 1, 4, 5
69, 45, 59, 1, 9, 10
75, 2067, 61, 1, 13, 14
76, 2072, 65, 1, 10, 11
76, 2077, 68, 1, 7, 8
76, 2079, 72, 1, 3, 4
77, 2080, 74, 1, 2, 3
79, 2081, 75, 1, 3, 4
83, 2078, 71, 1, 11, 12
84, 2084, 81, 1, 2, 3
85, 48, 64, 1, 20, 21
86, 2082, 80, 1, 5, 6
86, 2083, 80, 1, 5, 6
87, 2060, 55, 5, 27, 32
90, 2049, 43, 1, 46, 47
90, 2088, 86, 1, 3, 4
92, 2087, 85, 1, 6, 7
90, 2049, 43, 1, 46, 47
90, 57, 80, 1, 9, 10
90, 63, 87, 1, 2, 3
91, 2089, 87, 1, 3, 4
91, 58, 81, 4, 6, 10
92, 2087, 85, 1, 6, 7
95, 2094, 94, 1, 0, 1
96, 60, 84, 1, 11, 12
96, 14, 16, 3, 77, 80
96, 49, 65, 1, 30, 31
96, 47, 62, 1, 33, 34
96, 68, 95, Never attacked, Never attacked, 1
99, 2095, 95, 1, 3, 4
99, 2096, 95, 1, 3, 4
99, 2034, 28, 1, 70, 71
100, 2030, 25, 2, 73, 75
100, 2031, 25, 2, 73, 75
101, 2092, 91, 1, 9, 10
103, 43, 57, 1, 45, 46
103, 19, 24, 2, 77, 79
103, 31, 40, 1, 62, 63
103, 38, 50, 1, 52, 53
103, 72, 102, Never attacked, Never attacked, 1
104, 2093, 93, 1, 10, 11
108, 2086, 84, 1, 23, 24
108, 2097, 97, 1, 10, 11
109, 2100, 100, 1, 8, 9
109, 2103, 105, 1, 3, 4
110, 2028, 24, 3, 83, 86
110, 2101, 102, 1, 7, 8
110, 2028, 24, 3, 83, 86
110, 2029, 24, 3, 83, 86
111, 2102, 104, 1, 6, 7
117, 2016, 13, 1, 103, 104
118, 2013, 10, 1, 107, 108
118, 2013, 10, 1, 107, 108
118, 2014, 10, 1, 107, 108
119, 2104, 106, 1, 12, 13
120, 2107, 109, 1, 10, 11
121, 2007, 6, 1, 114, 115
121, 2008, 6, 1, 114, 115
124, 83, 123, 1, 0, 1
127, 2111, 113, 1, 13, 14
136, 2117, 127, 1, 8, 9
137, 2110, 112, 1, 24, 25
137, 2112, 114, 1, 22, 23
137, 2113, 121, 1, 15, 16
137, 2118, 128, 1, 8, 9
138, 2116, 126, 7, 5, 12
138, 2119, 132, 1, 5, 6
138, 76, 108, 1, 29, 30
140, 92, 138, 1, 1, 2
141, 85, 127, Never attacked, Never attacked, 14
142, 67, 94, 1, 47, 48
142, 73, 104, 1, 37, 38
142, 80, 113, 1, 28, 29
142, 78, 111, 1, 30, 31
142, 94, 141, 1, 0, 1
143, 82, 121, 3, 19, 22
143, 84, 126, 1, 16, 17
144, 2126, 138, 1, 5, 6
154, 2122, 134, 4, 16, 20
154, 2125, 137, 1, 16, 17
155, 2129, 141, 1, 13, 14
156, 2132, 153, 1, 2, 3
159, 98, 158, 1, 0, 1
161, 100, 160, 1, 0, 1
166, 2137, 159, 1, 6, 7
167, 2138, 160, 1, 6, 7
167, 2141, 163, 1, 3, 4
171, 102, 163, 1, 7, 8
172, 2146, 171, 1, 0, 1
172, 2147, 171, 1, 0, 1
175, 2148, 173, 1, 1, 2
176, 2139, 161, 3, 12, 15
176, 2140, 161, 3, 12, 15
176, 81, 114, 1, 61, 62
176, 69, 97, 1, 78, 79
176, 75, 106, 1, 69, 70
176, 91, 137, 1, 38, 39
176, 59, 82, 3, 91, 94
176, 74, 105, 1, 70, 71
176, 108, 175, Never attacked, Never attacked, 1
179, 2133, 157, 2, 20, 22
179, 106, 171, 1, 7, 8
180, 110, 176, 1, 3, 4
184, 2153, 183, 1, 0, 1
186, 95, 146, 1, 39, 40
186, 99, 159, 1, 26, 27
186, 61, 85, 1, 100, 101
186, 66, 93, 1, 92, 93
186, 77, 109, Never attacked, Never attacked, 77
186, 62, 86, 1, 99, 100
186, 115, 185, Never attacked, Never attacked, 1
190, 2144, 167, 1, 22, 23
191, 2145, 169, 1, 21, 22
192, 2149, 175, 1, 16, 17
192, 2150, 176, 1, 15, 16
193, 2151, 181, 1, 11, 12
193, 2152, 182, 1, 10, 11
194, 2156, 185, 1, 8, 9
194, 2159, 189, 2, 3, 5
194, 111, 181, 1, 12, 13
195, 2160, 190, 2, 3, 5
201, 112, 182, 1, 18, 19
201, 107, 173, 1, 27, 28
201, 101, 161, 1, 39, 40
201, 87, 132, 1, 68, 69
201, 127, 200, Never attacked, Never attacked, 1
202, 2168, 200, 1, 1, 2
203, 2161, 192, 1, 10, 11
203, 2165, 197, 1, 5, 6
204, 2162, 193, 1, 10, 11
205, 2163, 194, 1, 10, 11
205, 2164, 195, 1, 9, 10
206, 2166, 198, 1, 7, 8
207, 2167, 199, 1, 7, 8
207, 64, 90, 1, 116, 117
207, 6, 7, 2, 198, 200
207, 25, 31, Never attacked, Never attacked, 176
